id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,X,Y
279,53,33,55,89,56,95,73,26,56,61.59,18.01,41.51,12.32,-30.45,-33.85,4.21,3.55,-0.47,-20.88,-1.59,-5.05,-27.36,-1.09,-5.26,-21.2,-2.43,-5,140.62097684618723,36.60702364080923
114,78,30,56,107,50,93,84,24,57,28.5,19.5,36.5,-23.34,-24.99,-35.98,-6.17,6.02,-1.04,-12.8,0.84,-2.32,-6.14,-0.41,-1.18,-18.9,0.64,-3.3,140.04026437426919,36.143597058059434
369,53,48,77,100,74,113,103,42,80,57.73,1.4,15.78,-3.69,-48.87,-53.95,-29.08,-12.2,-24.79,-17.14,0.27,-2.61,-19.54,-0.99,-4.16,-14.98,-0.39,-2.91,140.27698184406455,36.4144083622968
274,69,30,55,99,53,97,90,28,61,45.1,20.85,41.31,1.38,-27.48,-36.02,-13.65,1.43,-5.61,-19.72,-1.36,-4.46,-25.95,-0.96,-4.78,-19.52,-2.12,-4.58,140.07818393545787,36.172431588428694
229,60,69,89,100,82,123,73,50,78,50.55,-18.2,8.7,-5.87,-55.34,-59.6,-1.19,-21.03,-22.78,-18.52,-0.14,-3.12,-19.53,-0.43,-4.16,-14.48,0.44,-2.81,140.6276665409201,36.71203845467936
477,57,75,114,73,73,108,59,48,69,52.9,-26.75,-21.58,22.59,-48.25,-49.2,15.64,-18.53,-14.08,-20.56,-0.67,-6.51,-18.14,-1,-4.66,-17.61,-0.84,-3.1,140.28384542622157,35.956756077660586
203,59,59,84,93,70,104,92,29,58,55.56,-8.33,13.12,4.98,-43.96,-42.1,-14.52,3.15,0.23,-17.16,-1.98,-6.48,-20.86,-1.79,-6.25,-23.44,-6.5,-8.93,140.18783510111436,36.06713452017725
340,64,28,52,102,47,90,84,25,56,49.22,21.94,42.02,-4.7,-21.78,-30.28,-7.6,5.76,0.5,-19.43,-1.11,-5.5,-20.46,-1.26,-5.11,-17.08,-2.23,-4.66,140.38941486540202,36.68662268316719
315,50,36,60,80,54,92,82,24,55,62.41,13.84,34.35,16.81,-28.77,-32.14,-5.67,6.4,1.34,-19.84,-1.19,-6.19,-20.19,-1.32,-5.52,-17.74,-1.9,-4.48,139.88612766219114,36.222224496861806
104,81,28,52,116,46,90,91,23,57,31.9,18.86,37.19,-26.1,-21.85,-32.95,-12.87,5.79,-3.06,-25.17,0.95,-3.19,-19.72,-0.76,-4,-21.24,2.24,-0.37,140.42438502009222,36.42440962579449
25,74,30,57,109,50,98,88,28,64,37.75,20.63,40.63,-16.73,-22.13,-33.5,-11.88,2.12,-6.53,-20.83,0.19,-3.08,-18.88,-1.56,-5.22,-19.58,-0.54,-5.02,140.21034927668063,36.44577188026538
507,84,30,57,115,48,93,105,25,61,22.2,17.62,34.82,-19.14,-23.38,-34.19,-32.67,4.46,-6.08,-13.22,-0.42,-4.45,-16.24,-0.81,-4.63,-13.05,-1.88,-4,140.2802377926152,36.00578428182329
346,47,27,50,89,51,95,62,23,51,66.93,24.88,48.54,4.96,-25.74,-34.94,12.2,6.01,3.83,-18.42,-1.26,-3.92,-18.37,-0.56,-3.13,-15.65,-1.09,-3.28,140.11345969882385,36.28012798569454
326,51,39,60,97,61,103,77,22,52,63.81,12.46,35.66,5.34,-35.63,-42.6,1.38,8.7,4.63,-19.33,-1.21,-4.05,-23.23,-0.73,-4.35,-19.02,-2.19,-4.68,140.09740149013686,36.00394349928912
400,52,54,78,76,63,95,78,25,52,61.16,-6.66,12.42,16.5,-38.52,-37.6,-1.27,3.92,2.22,-22.12,-0.65,-4.8,-19.52,-1.39,-4.35,-18.71,-1.09,-2.93,140.40613124536776,36.13919463098126
216,56,31,54,94,54,95,95,27,58,59.09,20.09,43.63,5.62,-27.83,-32.35,-17.71,2.07,-2.7,-21.3,-1.62,-5.52,-26.76,-1.22,-5.86,-21.67,-1.73,-4.6,140.18012167108705,35.975494823151955
245,42,29,50,83,54,93,70,25,54,72.1,23.03,49.13,17.72,-28.07,-30.82,8.46,5.58,2.94,-20.4,-2.52,-7.88,-21.57,-1.22,-6.19,-21.21,-2.92,-6.13,140.40947478928655,36.71515916792273
42,62,27,51,92,47,87,89,25,57,51.04,22.96,43.38,4.66,-21.76,-27.07,-12.25,5.2,-0.93,-19.84,-2.99,-6.22,-11.07,-0.31,-3.64,-14.2,-2.67,-5.79,140.06354643322064,36.11453969033358
251,78,28,53,110,48,92,85,24,58,35.41,22.98,43.2,-11.11,-22.48,-31.27,-7.85,6.72,-1.28,-20.06,-2.42,-7.06,-19.58,-1.17,-5.48,-18.89,-2.84,-5.56,140.4305432014208,36.44079402723731
389,64,31,54,98,51,94,91,25,56,43.06,22.67,40.88,-2.99,-25.18,-34.07,-17.03,5.65,-0.63,-12.88,0.09,1.04,-14.27,-0.24,-2.35,-15.4,2.58,-0.59,140.28317683061377,36.53659909165524
375,58,32,56,98,58,101,88,24,58,59.06,22.05,46.54,-1.15,-32.53,-40.3,-11.73,5.98,-2.27,-21.34,-3.48,-7.54,-20.11,-0.96,-4.43,-17.74,-2.19,-4.58,139.97263058211422,36.10673813506432
205,63,37,58,95,58,101,89,27,62,53.03,14.78,40.38,7.34,-31.89,-38.4,-8.63,3.14,-5.46,-21.14,-1.74,-4.98,-22.2,-0.93,-5.59,-22.39,-3.26,-6.37,139.90076597801604,36.21052497088569
125,67,28,52,102,51,96,84,26,59,49.76,26.5,51.14,-4.07,-25.49,-35.28,-7.74,4.59,-2.76,-16.48,-3.73,-6.58,-14.52,-0.02,-1.57,-10.8,-2.16,-4.29,140.7600372821316,35.824360846106856
310,49,41,63,95,70,103,115,32,63,63.34,8.25,29.75,0.51,-45.11,-44.19,-38.86,-1.92,-7.3,-19.55,-0.86,-4.63,-18.79,-1,-4.42,-17.2,-1.48,-3.84,140.43642239183248,36.31743558728586
151,76,29,54,115,49,95,97,24,60,36.6,21,40.8,-17.27,-24.3,-35.1,-22.19,5.6,-5.09,-20.95,-0.72,-3.97,-24.83,-1.08,-6.17,-20.37,-1.34,-3.89,140.0144720304282,36.06106909108033
359,62,38,63,93,57,94,86,26,56,51.12,10.38,28.15,1.68,-32.17,-35.63,-10.54,3.37,-1.25,-17.55,-0.5,-3.52,-17.43,-1.15,-4.1,-13.83,-1.41,-3.2,140.63738200366814,36.83817171126623
331,45,27,49,82,50,91,57,24,52,66.34,22.9,46.03,10.3,-25.18,-32.33,13.89,4.59,2.3,-16.17,0.17,-2.41,-16.82,-0.24,-2.19,-12.92,-0.93,-2.91,140.3015998627385,36.2764961628398
479,57,60,81,90,75,113,75,31,60,60.67,-7.73,17.48,12.1,-50.03,-53.18,4.57,-1.68,-4.88,-24.01,-0.66,-4.07,-27.32,-1.15,-5.06,-22.88,-1.54,-4.19,139.92091144053427,36.025305905652786
273,64,28,54,101,51,95,82,25,60,48.99,22.9,41.48,-2.26,-25.57,-34.56,-4.88,5.71,-3.25,-21.1,-1.87,-6.06,-19.71,-1.1,-5.42,-19.6,-2.1,-5,140.30165504956577,36.14816011637016
60,53,40,61,92,60,99,101,25,56,62.25,11.25,34.92,10.02,-34.6,-38.37,-22.1,5.47,0.49,-20.32,-1.59,-4.27,-24.22,-0.8,-4.69,-20.42,-2.48,-5.21,140.26021845027725,36.32308238868938
365,80,41,64,104,60,94,119,29,60,32.4,6.56,26.28,-11.15,-35.45,-36.45,-43.27,0.2,-5.47,-19.54,0.37,-2.77,-17.54,-0.98,-3.63,-16.3,-0.66,-2.62,140.50275246504742,36.55034574634765
48,54,53,72,81,70,102,106,27,58,58.17,-2.54,22.6,17.15,-44.68,-41.98,-29.34,3.46,-1.58,-22.54,-0.07,-4.62,-19.2,-0.84,-5.06,-20.79,-0.45,-3.33,140.46240322214496,36.268082323619666
192,82,29,54,119,50,98,105,25,59,34.9,23.4,45,-15.9,-25.4,-38.8,-24.31,4.1,-4.1,-23.78,-1.23,-6.22,-28.14,-0.99,-5.08,-24.09,-1.2,-3.95,140.27765067301647,36.8534338730826
337,47,33,56,90,64,102,89,29,59,67.22,18.47,39.66,11.55,-38.61,-41.71,-11.48,1.79,-2.35,-18.25,-1.04,-3.17,-22.6,-0.8,-4.18,-18.6,-2.38,-4.74,140.21238225364706,36.45623984284964
58,66,28,54,104,48,95,84,25,59,40.59,21.57,39.57,-15.93,-22.86,-36.13,-14.09,4.5,-3.78,-15.55,-0.16,-4.34,-10.57,-1,-4.31,-12.37,-0.26,-2.81,140.30070385501557,36.485809036132444
180,66,28,52,98,47,88,83,25,57,51.09,20.24,42.22,0.63,-22.18,-27.75,-0.59,5.46,-0.29,-17.52,-1.06,-5.42,-9.42,-0.38,-4.25,-12.75,-1.27,-4.55,139.84536485251692,36.237125542752
54,93,29,56,126,49,96,121,26,64,29.98,20.91,40.27,-12.35,-23.55,-33.83,-32.69,2.88,-8.85,-28.72,0.11,-5.31,-34.61,-0.8,-6.36,-29.4,-0.32,-3.21,140.34752818654653,36.733159120196525
162,59,67,81,85,81,114,86,38,68,53.11,-18.74,12.34,10.15,-56.22,-54.7,-9.19,-8.43,-12.76,-21.3,-1.83,-6.49,-18.61,-1.32,-5.49,-18.37,-1.65,-4.16,140.44979793559241,36.369754798662804
493,66,36,61,92,50,90,77,23,54,43.84,12.65,32.01,7.17,-25.14,-31.08,-3.1,6.46,0.92,-18.06,-0.28,-4.62,-20.05,-0.94,-4.64,-16.13,-0.81,-3.22,140.29479755766255,36.38387191924976
159,51,28,50,86,45,86,63,22,50,62.15,20.37,43.8,9.59,-20.19,-26.36,14.67,7.52,5.3,-27.2,-3.47,-8.4,-30.45,-2.53,-8.66,-23.76,-0.93,-3.17,140.33378013129604,36.71676705224009
97,80,29,56,114,48,92,100,25,59,34.37,19.62,37.23,-15.09,-23.14,-32.15,-23.54,4.05,-4.41,-19.84,1.56,-2.46,-20.46,-0.39,-4.35,-17.99,0.11,-2.44,140.62466552391106,36.85088100210059
241,64,74,93,109,87,126,128,38,74,49.76,-22.11,6.08,-9.11,-61.06,-63.87,-50.07,-7.14,-16.76,-19.18,-2.91,-8.74,-20.04,-1.41,-6.38,-20.04,-3.43,-6.58,140.30199939065133,35.870787163127005
302,51,28,48,81,47,87,80,25,54,61.61,21.64,45.48,15.88,-21.96,-27.71,-3.37,5.26,1.98,-19.82,-1.08,-5.14,-19.78,-1.06,-4.78,-17.84,-1.68,-4.11,140.2410681230893,36.036128806816386
329,57,53,69,105,64,105,114,26,58,56.82,-1.86,27.02,-4.47,-38.71,-44.96,-38.16,4.2,-1.98,-8.99,-1.18,-1.63,-14.03,-0.72,-2.76,-9.13,-1.72,-3.45,140.5806376270533,36.80522565204963
50,56,51,69,88,64,104,102,25,54,60.28,0.4,27.6,15.16,-38.42,-42.68,-21.99,5.34,2.49,-21.91,-1.71,-5.25,-25.52,-0.89,-5.42,-22.17,-2.48,-5.39,140.58267233065763,36.561795021551696
201,63,42,63,97,66,108,111,28,59,52.41,9.76,35.69,4.44,-39.89,-45.42,-31.33,2.24,-2.34,-20.2,-1.89,-5.47,-21.65,-0.99,-5.71,-22.19,-3.41,-6.52,140.35295564338543,36.38449055714737
446,57,26,50,93,53,97,73,23,54,61.85,27.87,51.61,4.28,-27.94,-36.8,6.77,5.76,0.78,-23.46,0.1,-2.32,-19.66,-0.52,-3.42,-21.29,-0.55,-3.57,140.3433664813138,36.37097866353407
134,81,32,57,120,56,107,105,28,63,39.6,25,50.2,-16.28,-28.61,-43.4,-26.41,6.51,-2.69,-23.35,-6.07,-11.21,-24.13,-2.77,-7.07,-18.7,-6.65,-8.99,139.71326211797583,36.15673849869328
149,46,41,61,117,58,109,86,24,55,71.9,12.26,39.3,-16.21,-32.81,-48.79,-6.57,5.65,0.48,-23.73,-1.15,-5.57,-25.8,-1.15,-4.97,-22.48,-2.03,-4.66,140.26822121668508,36.27428782171161
166,59,27,51,94,46,87,76,24,54,54.98,21.59,43.47,2.57,-20.98,-26.45,3.47,5.56,1.78,-20.44,-1.91,-5.9,-20.01,-1.26,-5.56,-19.57,-1.7,-5.04,140.5738112897036,36.3719574473218
290,54,25,50,104,49,94,83,26,57,61.24,26.23,46.53,-1.13,-23.49,-32.89,-4.45,3.84,-1.16,-19.6,-1.44,-4.43,-26.3,-0.85,-4.76,-20.46,-2.33,-4.84,140.46033882692723,36.36360231984981
403,59,32,54,92,52,95,83,27,61,52.88,19.12,41.42,6.97,-26.73,-35.25,-7.9,3.38,-5.15,-18.82,-0.89,-4.63,-24.57,-1.04,-4.84,-19.84,-2.92,-5.05,140.34310086011928,36.84370797937747
488,73,29,50,101,47,90,82,24,56,36.07,19.05,42.34,-5.12,-22.29,-31.15,-7.65,5.55,-0.94,-19.43,-1.25,-6.64,-18.51,-1.17,-5.08,-16.98,-1.26,-3.69,139.7825053545542,36.22223965188532
186,58,62,86,85,61,93,88,24,53,45.29,-14.57,5.06,11.38,-36.43,-34.66,-18.39,5.31,1.53,-9.95,-0.19,-3.63,-16.56,-0.73,-4.12,-10.08,-1.78,-3.64,140.34657695703538,35.921497637509454
379,47,38,62,90,70,103,100,28,58,62.73,12.13,31.02,5.23,-44.8,-44.07,-25.67,2.09,-2.6,-16,0.52,-1.02,-17.7,-0.67,-3.28,-15.66,0.32,-2.64,140.4062523168057,36.5063497054401
72,68,76,89,111,82,123,121,35,74,44.09,-25.64,7.07,-18.54,-56.8,-63.39,-49.08,-6.17,-19.31,-16.76,-0.27,-2.29,-17.49,-0.54,-2.75,-14.02,-1.07,-3.24,140.17337884192509,36.13653915966465
414,90,32,59,129,52,99,121,27,65,20.36,18.67,35.16,-30.66,-26.77,-39.66,-46.88,3.27,-9.47,-18.66,-0.77,-4.38,-24.76,-1.2,-4.87,-19.8,-2.59,-4.59,140.77003046934246,35.8072803953623
266,55,39,62,91,66,102,98,27,57,59.42,13.02,34.67,11.05,-40.32,-40.78,-19.14,3.87,0,-21.73,-2.56,-6.28,-22.73,-1.13,-5.69,-21.47,-2.55,-5.67,140.25680500665746,35.98927606194605
210,45,36,60,97,57,102,83,28,56,70.69,15.17,37.74,3.06,-30.82,-39.28,-5.14,1.07,-0.69,-22.01,-1.58,-5.35,-26.67,-1.2,-5.89,-22.04,-1.73,-4.68,140.1897892272894,35.891709164136856
348,75,31,55,104,53,95,112,27,56,37.46,20.65,39.61,-2.75,-27.66,-35.11,-35.16,4.13,0.81,-17.28,-1.48,-3.45,-22.14,-0.78,-4.09,-17.78,-2.4,-4.87,140.440885269764,35.93669444163745
258,63,29,53,99,50,94,85,26,60,51.16,21.9,43.72,0.91,-24.22,-32.46,-8.61,3.42,-4.53,-19.84,-1.37,-4.3,-25.08,-0.95,-4.87,-19.39,-1.94,-4.58,140.03614631169984,36.007757878156625
195,79,30,55,115,51,96,109,25,59,35.4,22.19,41.2,-3.31,-25.44,-36.8,-28.94,5.27,-3.66,-22.4,-3.91,-6.61,-36.29,-2.13,-5.77,-23.32,-2.09,-4.13,139.9710012251193,35.97661635441344
406,50,30,52,82,52,90,90,25,55,59.76,20.61,41.79,15.36,-26.76,-30.71,-16.15,5.48,0.74,-18.1,-0.53,-3.63,-23.06,-1.09,-4.63,-19.14,-2.36,-4.51,140.5952722904062,35.93121007845694
295,60,27,53,97,49,93,83,25,58,56.58,24.3,43.36,6.8,-23.47,-31.85,-2.96,5.43,-1.44,-22.05,-1.67,-5.3,-25.3,-0.7,-5.11,-21.23,-2.23,-5.13,140.69699359816676,36.660272929214145
321,61,30,53,97,51,98,79,26,60,52.62,21.67,45.48,-3.41,-25.4,-37.15,-4.49,3.02,-4.98,-20.05,-1.08,-2.63,-21.12,-0.57,-3.42,-17.17,-0.84,-3.21,140.66980864781706,36.71005382127298
52,63,28,52,98,50,92,83,26,58,54.28,23.18,44.35,6.5,-24.48,-30.8,-2.27,4.45,-1.41,-22.1,-1.58,-5.35,-23.97,-0.33,-4.81,-19.99,-2.05,-4.61,140.49003405539105,36.075474951392415
81,53,47,66,107,65,107,104,27,57,58.86,3.51,29.42,-10.69,-39.99,-47.89,-31.4,2.68,-1.68,-14.94,-0.47,-2.51,-18.73,-0.53,-2.75,-13.14,-1.92,-3.85,140.21540545298004,36.044125912370106
95,68,27,51,100,46,87,77,23,54,43.73,21.07,39.75,-6.72,-21.35,-29.09,-1.87,6.36,0.74,-11.73,-1.81,-3.62,-14.88,-1.37,-4.35,-8.78,-2.34,-4.16,139.78011675983032,36.20680463020531
